택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
003P10013,강원 태백시,3,14,227,3,원주 우편집중국,26,39,256,144,중부권 광역우편물류센터,59,70,225,92,안양 우편집중국,82,85,59,17,경기 의왕시
003P10014,경북 청도군,3,7,79,2,대구 우편집중국,19,29,192,51,중부권 광역우편물류센터,41,54,268,24,고양 우편집중국,66,68,42,4,서울 마포구
003P10015,경북 울진군,3,5,30,1,포항 우편집중국,17,31,271,2,중부권 광역우편물류센터,43,56,256,53,원주 우편집중국,68,76,150,5,강원 인제군
003P10016,강원 영월군,3,6,62,3,원주 우편집중국,18,31,256,20,중부권 광역우편물류센터,43,46,53,29,대전 우편집중국,58,62,77,6,충남 논산시
003P10017,서울 용산구,3,7,84,1,동서울 우편집중국,19,31,248,37,중부권 광역우편물류센터,43,57,290,46,영암 우편집중국,69,71,50,6,전남 영암군
003P10018,충북 증평군,3,6,58,4,청주 우편집중국,18,23,100,30,중부권 광역우편물류센터,35,48,251,2,창원 우편집중국,60,62,30,1,경남 창원시 마산합포구
003P10019,충북 청주시 상당구,3,6,65,4,청주 우편집중국,18,23,100,30,중부권 광역우편물류센터,35,38,53,4,대전 우편집중국,50,60,190,1,충남 보령시
003P10020,경기 안성시,3,9,114,2,수원 우편집중국,21,32,229,39,중부권 광역우편물류센터,44,57,251,45,창원 우편집중국,69,71,30,4,경남 창원시 마산회원구
003P10021,서울 중랑구,3,5,48,1,의정부 우편집중국,17,30,261,20,중부권 광역우편물류센터,42,53,216,34,안동 우편집중국,65,68,57,5,경북 영주시
003P10022,전북 전주시 덕진구,3,6,54,4,전주 우편집중국,18,23,93,21,중부권 광역우편물류센터,35,40,100,4,청주 우편집중국,52,56,71,1,충북 진천군
003P10023,경기 하남시,3,6,51,5,동서울 우편집중국,18,30,248,26,중부권 광역우편물류센터,42,60,368,15,강릉 우편집중국,72,74,30,4,강원 강릉시
003P10024,경기 성남시 중원구,3,5,43,1,성남 우편집중국,17,28,218,14,중부권 광역우편물류센터,40,58,368,10,강릉 우편집중국,70,74,72,1,강원 동해시
003P10025,전북 익산시,3,5,39,3,전주 우편집중국,17,22,93,13,중부권 광역우편물류센터,34,49,295,11,부산 우편집중국,61,63,35,1,부산 동구
003P10026,전북 정읍시,3,7,88,2,전주 우편집중국,19,24,93,34,중부권 광역우편물류센터,36,39,53,7,대전 우편집중국,51,53,46,2,대전 유성구
003P10027,전남 화순군,3,7,71,1,광주 우편집중국,19,29,199,22,중부권 광역우편물류센터,41,54,253,38,부천 우편집중국,66,69,61,6,인천 남동구
003P10028,전남 목포시,3,5,45,1,영암 우편집중국,17,31,290,16,중부권 광역우편물류센터,43,56,261,49,의정부 우편집중국,68,70,45,3,경기 동두천시
003P10029,전남 강진군,3,5,50,2,영암 우편집중국,17,31,290,16,중부권 광역우편물류센터,43,58,295,87,부산 우편집중국,70,74,70,10,부산 영도구
003P10030,대구 중구,3,5,30,4,대구 우편집중국,17,27,192,23,중부권 광역우편물류센터,39,51,248,20,동서울 우편집중국,63,65,30,3,서울 광진구
003P10031,충남 천안시 동남구,3,5,30,2,천안 우편집중국,17,24,133,11,중부권 광역우편물류센터,36,49,268,4,고양 우편집중국,61,63,30,1,경기 고양시 일산동구
003P10032,경기 안양시 동안구,3,5,33,2,안양 우편집중국,17,28,225,31,중부권 광역우편물류센터,40,53,261,21,의정부 우편집중국,65,68,53,2,경기 구리시
003P10033,부산 중구,3,7,70,2,부산 우편집중국,19,34,295,52,중부권 광역우편물류센터,46,56,192,116,대구 우편집중국,68,72,84,4,경북 군위군
003P10034,충남 공주시,3,7,76,2,대전 우편집중국,19,22,53,25,중부권 광역우편물류센터,34,49,295,11,부산 우편집중국,61,65,70,2,부산 중구
003P10035,경북 경주시,3,14,226,5,포항 우편집중국,26,40,271,58,중부권 광역우편물류센터,59,70,216,80,안동 우편집중국,82,84,44,21,경북 예천군
003P10036,경북 영주시,3,6,57,3,안동 우편집중국,18,29,216,13,중부권 광역우편물류센터,41,46,100,24,청주 우편집중국,58,62,87,4,충북 보은군
003P10037,강원 철원군,3,6,55,1,의정부 우편집중국,18,31,261,27,중부권 광역우편물류센터,43,48,100,26,청주 우편집중국,60,62,30,8,충북 청주시 서원구
003P10038,전북 전주시 완산구,3,6,53,3,전주 우편집중국,18,23,93,21,중부권 광역우편물류센터,35,46,229,3,수원 우편집중국,58,61,69,1,경기 수원시 팔달구
003P10039,전북 남원시,3,9,121,4,전주 우편집중국,21,26,93,61,중부권 광역우편물류센터,38,49,225,15,안양 우편집중국,61,64,55,1,경기 과천시
003P10040,전남 여수시,3,5,30,2,순천 집중과,17,29,233,9,중부권 광역우편물류센터,41,48,133,34,천안 우편집중국,60,66,128,5,충남 서산시
003P10041,부산 사하구,3,7,70,4,부산 우편집중국,19,34,295,52,중부권 광역우편물류센터,46,57,216,79,안동 우편집중국,69,73,70,10,경북 의성군
003P10042,울산 북구,3,5,30,2,울산 우편집중국,17,33,318,10,중부권 광역우편물류센터,45,57,248,93,동서울 우편집중국,69,71,40,10,경기 남양주시
003P10043,경기 과천시,3,6,55,4,안양 우편집중국,18,29,225,37,중부권 광역우편물류센터,41,51,199,38,광주 우편집중국,63,69,128,3,전남 구례군
003P10044,경기 부천시,3,5,36,2,부천 우편집중국,17,30,253,22,중부권 광역우편물류센터,42,47,93,42,전주 우편집중국,59,61,45,6,전북 완주군
003P10045,전북 순창군,3,9,129,6,전주 우편집중국,21,26,93,61,중부권 광역우편물류센터,38,49,218,7,성남 우편집중국,61,66,94,1,경기 이천시
003P10046,서울 관악구,3,5,49,1,안양 우편집중국,17,28,225,31,중부권 광역우편물류센터,40,51,225,32,안양 우편집중국,63,67,73,5,서울 구로구
003P10047,대전 서구,3,5,46,1,대전 우편집중국,17,20,53,14,중부권 광역우편물류센터,32,35,53,1,대전 우편집중국,47,51,77,1,충남 논산시
003P10048,전북 남원시,3,9,121,4,전주 우편집중국,21,26,93,61,중부권 광역우편물류센터,38,41,53,15,대전 우편집중국,53,55,30,4,충남 계룡시
003P10049,충북 청주시 청원구,3,5,30,4,청주 우편집중국,17,22,100,19,중부권 광역우편물류센터,34,47,256,4,원주 우편집중국,59,63,84,3,강원 평창군
003P10050,대구 남구,3,5,43,1,대구 우편집중국,17,27,192,23,중부권 광역우편물류센터,39,55,318,6,울산 우편집중국,67,69,30,1,울산 동구
003P10051,경기 오산시,3,7,86,3,수원 우편집중국,19,30,229,21,중부권 광역우편물류센터,42,52,192,53,대구 우편집중국,64,68,76,4,경북 구미시
003P10052,서울 은평구,3,5,39,5,고양 우편집중국,17,30,268,17,중부권 광역우편물류센터,42,53,229,35,수원 우편집중국,65,69,77,5,경기 수원시 권선구
003P10053,충북 단양군,3,8,98,2,원주 우편집중국,20,33,256,43,중부권 광역우편물류센터,45,57,248,93,동서울 우편집중국,69,73,84,7,서울 종로구
003P10054,강원 정선군,3,9,124,2,원주 우편집중국,21,34,256,56,중부권 광역우편물류센터,46,57,225,94,안양 우편집중국,69,71,33,13,경기 안양시 만안구
003P10055,경북 의성군,3,7,70,6,안동 우편집중국,19,30,216,20,중부권 광역우편물류센터,42,47,93,42,전주 우편집중국,59,62,53,3,전북 전주시 완산구
003P10056,충남 공주시,3,7,76,2,대전 우편집중국,19,22,53,25,중부권 광역우편물류센터,34,45,216,2,안동 우편집중국,57,61,90,1,경북 청송군
003P10057,충북 청주시 상당구,3,6,65,4,청주 우편집중국,18,23,100,30,중부권 광역우편물류센터,35,42,133,7,천안 우편집중국,54,63,175,1,전북 무주군
003P10058,경남 하동군,3,7,73,1,진주 우편집중국,19,29,202,19,중부권 광역우편물류센터,41,52,229,22,수원 우편집중국,64,67,69,6,경기 수원시 팔달구
003P10059,대전 유성구,3,5,46,1,대전 우편집중국,17,20,53,14,중부권 광역우편물류센터,32,42,199,2,광주 우편집중국,54,58,71,1,전남 화순군
003P10060,경남 창녕군,3,7,75,3,창원 우편집중국,19,32,251,27,중부권 광역우편물류센터,44,59,295,103,부산 우편집중국,71,75,70,7,부산 서구
003P10061,전남 고흥군,3,6,58,2,순천 집중과,18,30,233,13,중부권 광역우편물류센터,42,58,318,23,울산 우편집중국,70,72,30,4,울산 동구
003P10062,부산 사상구,3,7,70,3,부산 우편집중국,19,34,295,52,중부권 광역우편물류센터,46,56,202,53,진주 우편집중국,68,73,102,8,경남 함양군
003P10063,광주 북구,3,6,57,4,광주 우편집중국,18,28,199,12,중부권 광역우편물류센터,40,54,271,14,포항 우편집중국,66,68,30,6,경북 포항시 북구
003P10064,경남 함안군,3,5,49,4,창원 우편집중국,17,30,251,14,중부권 광역우편물류센터,42,57,295,69,부산 우편집중국,69,73,70,6,부산 영도구
003P10065,경기 성남시 분당구,3,5,39,3,성남 우편집중국,17,28,218,14,중부권 광역우편물류센터,40,53,253,28,부천 우편집중국,65,69,74,3,인천 동구
003P10066,경기 시흥시,3,6,53,5,부천 우편집중국,18,31,253,38,중부권 광역우편물류센터,43,54,218,30,성남 우편집중국,66,68,43,5,경기 성남시 중원구
003P10067,경기 군포시,3,5,33,3,안양 우편집중국,17,28,225,31,중부권 광역우편물류센터,40,50,192,28,대구 우편집중국,62,65,54,4,경북 경산시
003P10068,강원 태백시,3,14,227,3,원주 우편집중국,26,39,256,144,중부권 광역우편물류센터,59,72,268,65,고양 우편집중국,84,86,36,13,경기 김포시
003P10069,서울 강북구,3,6,64,5,의정부 우편집중국,18,31,261,27,중부권 광역우편물류센터,43,56,261,49,의정부 우편집중국,68,70,38,6,경기 양주시
003P10070,충북 청주시 청원구,3,5,30,4,청주 우편집중국,17,22,100,19,중부권 광역우편물류센터,34,47,256,4,원주 우편집중국,59,63,84,3,강원 평창군
003P10071,서울 성북구,3,5,36,1,동서울 우편집중국,17,29,248,20,중부권 광역우편물류센터,41,52,225,40,안양 우편집중국,64,68,73,6,서울 구로구
003P10072,경남 통영시,3,10,136,5,창원 우편집중국,22,35,251,61,중부권 광역우편물류센터,47,63,318,55,울산 우편집중국,75,77,35,4,울산 울주군
003P10073,충남 금산군,3,11,154,2,천안 우편집중국,23,30,133,57,중부권 광역우편물류센터,42,52,192,53,대구 우편집중국,64,66,50,5,대구 동구
003P10074,경북 의성군,3,7,70,6,안동 우편집중국,19,30,216,20,중부권 광역우편물류센터,42,52,192,53,대구 우편집중국,64,67,54,5,대구 달성군
003P10075,대구 북구,3,5,30,2,대구 우편집중국,17,27,192,23,중부권 광역우편물류센터,39,42,53,16,대전 우편집중국,54,64,190,4,충남 보령시
003P10076,강원 화천군,3,8,108,3,원주 우편집중국,20,33,256,43,중부권 광역우편물류센터,45,55,199,84,광주 우편집중국,67,71,71,11,전남 화순군
003P10077,부산 북구,3,5,35,2,부산 우편집중국,17,32,295,22,중부권 광역우편물류센터,44,57,268,47,고양 우편집중국,69,71,30,5,경기 고양시 일산동구
003P10078,전남 보성군,3,7,84,2,순천 집중과,19,31,233,22,중부권 광역우편물류센터,43,57,271,24,포항 우편집중국,69,80,226,4,경북 경주시
003P10079,경기 광주시,3,7,72,5,성남 우편집중국,19,30,218,36,중부권 광역우편물류센터,42,49,133,44,천안 우편집중국,61,67,128,5,충남 태안군
003P10080,부산 해운대구,3,11,152,2,부산 우편집중국,23,38,295,140,중부권 광역우편물류센터,59,70,216,80,안동 우편집중국,82,87,97,15,경북 상주시
003P10081,부산 남구,3,5,35,2,부산 우편집중국,17,32,295,22,중부권 광역우편물류센터,44,47,53,31,대전 우편집중국,59,62,56,3,세종특별자치시
003P10082,전북 순창군,3,9,129,6,전주 우편집중국,21,26,93,61,중부권 광역우편물류센터,38,50,248,14,동서울 우편집중국,62,64,40,1,경기 남양주시
003P10083,전북 고창군,3,10,141,5,전주 우편집중국,22,27,93,80,중부권 광역우편물류센터,39,49,199,20,광주 우편집중국,61,65,70,1,전남 담양군
003P10084,경남 통영시,3,10,136,5,창원 우편집중국,22,35,251,61,중부권 광역우편물류센터,47,57,199,93,광주 우편집중국,69,73,71,13,전남 화순군
003P10085,충남 당진시,3,8,109,3,천안 우편집중국,20,27,133,31,중부권 광역우편물류센터,39,42,53,16,대전 우편집중국,54,58,77,2,충남 논산시
003P10086,인천 부평구,3,5,36,3,부천 우편집중국,17,30,253,22,중부권 광역우편물류센터,42,55,253,50,부천 우편집중국,67,69,36,4,인천 계양구
003P10087,경기 의왕시,3,6,59,7,안양 우편집중국,18,29,225,37,중부권 광역우편물류센터,41,48,133,34,천안 우편집중국,60,68,164,6,충북 영동군
003P10088,인천 중구,3,6,66,2,부천 우편집중국,18,31,253,38,중부권 광역우편물류센터,43,53,192,69,대구 우편집중국,65,67,30,5,대구 북구
003P10089,대전 동구,3,6,57,2,대전 우편집중국,18,21,53,18,중부권 광역우편물류센터,33,48,295,3,부산 우편집중국,60,64,70,1,부산 사하구
003P10090,충남 당진시,3,8,109,3,천안 우편집중국,20,27,133,31,중부권 광역우편물류센터,39,54,295,30,부산 우편집중국,66,69,60,3,부산 수영구
003P10091,인천 남동구,3,6,61,4,부천 우편집중국,18,31,253,38,중부권 광역우편물류센터,43,54,229,40,수원 우편집중국,66,72,110,5,경기 화성시
003P10092,충북 옥천군,3,10,135,7,천안 우편집중국,22,29,133,48,중부권 광역우편물류센터,41,52,229,22,수원 우편집중국,64,68,77,2,경기 수원시 권선구
003P10093,충북 음성군,3,8,97,4,청주 우편집중국,20,25,100,45,중부권 광역우편물류센터,37,40,53,12,대전 우편집중국,52,62,190,3,충남 보령시
003P10094,충북 보은군,3,7,87,3,청주 우편집중국,19,24,100,35,중부권 광역우편물류센터,36,47,218,3,성남 우편집중국,59,61,43,1,경기 성남시 중원구
003P10095,부산 북구,3,5,35,2,부산 우편집중국,17,32,295,22,중부권 광역우편물류센터,44,54,192,87,대구 우편집중국,66,68,30,7,대구 북구
003P10096,충북 청주시 서원구,3,5,30,4,청주 우편집중국,17,22,100,19,중부권 광역우편물류센터,34,39,93,6,전주 우편집중국,51,58,141,1,전북 고창군
003P10097,경기 하남시,3,6,51,5,동서울 우편집중국,18,30,248,26,중부권 광역우편물류센터,42,53,225,47,안양 우편집중국,65,69,73,7,서울 구로구
003P10098,전남 곡성군,3,8,92,3,광주 우편집중국,20,30,199,33,중부권 광역우편물류센터,42,53,229,35,수원 우편집중국,65,69,77,2,경기 수원시 장안구
003P10099,경기 고양시 일산동구,3,5,30,1,고양 우편집중국,17,30,268,17,중부권 광역우편물류센터,42,52,192,53,대구 우편집중국,64,68,79,4,경북 청도군
003P10100,경남 통영시,3,10,136,5,창원 우편집중국,22,35,251,61,중부권 광역우편물류센터,47,60,253,118,부천 우편집중국,72,74,36,12,인천 계양구
003P10101,서울 금천구,3,5,49,3,안양 우편집중국,17,28,225,31,중부권 광역우편물류센터,40,53,251,15,창원 우편집중국,65,72,136,2,경남 통영시
003P10102,강원 고성군,3,8,97,2,강릉 우편집중국,20,38,368,22,중부권 광역우편물류센터,59,72,261,94,의정부 우편집중국,84,86,38,22,경기 양주시
003P10103,경기 수원시 장안구,3,7,77,1,수원 우편집중국,19,30,229,21,중부권 광역우편물류센터,42,55,253,50,부천 우편집중국,67,70,61,8,인천 남동구
003P10104,부산 사상구,3,7,70,3,부산 우편집중국,19,34,295,52,중부권 광역우편물류센터,46,53,133,91,천안 우편집중국,65,73,164,12,충북 영동군
003P10105,전남 담양군,3,7,70,3,광주 우편집중국,19,29,199,22,중부권 광역우편물류센터,41,52,225,40,안양 우편집중국,64,67,59,4,경기 의왕시
003P10106,광주 북구,3,6,57,4,광주 우편집중국,18,28,199,12,중부권 광역우편물류센터,40,55,295,40,부산 우편집중국,67,75,152,2,부산 해운대구
003P10107,경남 창원시 성산구,3,7,75,3,창원 우편집중국,19,32,251,27,중부권 광역우편물류센터,44,54,192,87,대구 우편집중국,66,68,48,3,대구 달서구
003P10108,충남 논산시,3,7,77,2,대전 우편집중국,19,22,53,25,중부권 광역우편물류센터,34,45,225,3,안양 우편집중국,57,59,33,1,경기 군포시
003P10109,경북 성주군,3,7,88,2,대구 우편집중국,19,29,192,51,중부권 광역우편물류센터,41,44,53,15,대전 우편집중국,56,58,46,5,대전 유성구
003P10110,경남 김해시,3,5,39,1,부산 우편집중국,17,32,295,22,중부권 광역우편물류센터,44,55,216,58,안동 우편집중국,67,71,70,6,경북 의성군
003P10111,전남 담양군,3,7,70,3,광주 우편집중국,19,29,199,22,중부권 광역우편물류센터,41,44,53,15,대전 우편집중국,56,66,190,5,충남 보령시
003P10112,경기 의왕시,3,6,59,7,안양 우편집중국,18,29,225,37,중부권 광역우편물류센터,41,53,233,15,순천 집중과,65,69,84,4,전남 보성군
003P10113,인천 연수구,3,7,70,2,부천 우편집중국,19,32,253,55,중부권 광역우편물류센터,44,56,248,77,동서울 우편집중국,68,72,84,7,서울 성동구
003P10114,전남 장성군,3,5,39,2,광주 우편집중국,17,27,199,5,중부권 광역우편물류센터,39,54,295,30,부산 우편집중국,66,69,60,3,부산 수영구
003P10115,충남 태안군,3,9,128,1,천안 우편집중국,21,28,133,39,중부권 광역우편물류센터,40,45,93,19,전주 우편집중국,57,59,39,2,전북 익산시
003P10116,충북 옥천군,3,10,135,7,천안 우편집중국,22,29,133,48,중부권 광역우편물류센터,41,54,268,24,고양 우편집중국,66,68,30,3,경기 고양시 일산동구
003P10117,충북 옥천군,3,10,135,7,천안 우편집중국,22,29,133,48,중부권 광역우편물류센터,41,48,133,34,천안 우편집중국,60,62,30,3,충남 천안시 서북구
003P10118,대구 중구,3,5,30,4,대구 우편집중국,17,27,192,23,중부권 광역우편물류센터,39,50,229,10,수원 우편집중국,62,65,69,2,경기 수원시 팔달구
003P10119,울산 남구,3,5,30,1,울산 우편집중국,17,33,318,10,중부권 광역우편물류센터,45,55,199,84,광주 우편집중국,67,71,71,11,전남 화순군
003P10120,인천 강화군,3,8,96,3,부천 우편집중국,20,33,253,87,중부권 광역우편물류센터,45,63,368,35,강릉 우편집중국,75,80,97,5,강원 속초시
003P10121,경기 성남시 분당구,3,5,39,3,성남 우편집중국,17,28,218,14,중부권 광역우편물류센터,40,51,218,18,성남 우편집중국,63,65,43,2,경기 성남시 수정구
003P10122,경북 군위군,3,7,84,3,대구 우편집중국,19,29,192,51,중부권 광역우편물류센터,41,53,248,36,동서울 우편집중국,65,69,84,6,서울 용산구
003P10123,경남 함안군,3,5,49,4,창원 우편집중국,17,30,251,14,중부권 광역우편물류센터,42,55,261,36,의정부 우편집중국,67,69,45,2,경기 동두천시
003P10124,경기 광주시,3,7,72,5,성남 우편집중국,19,30,218,36,중부권 광역우편물류센터,42,52,199,43,광주 우편집중국,64,71,140,4,전남 나주시
003P10125,충북 제천시,3,6,62,3,원주 우편집중국,18,31,256,20,중부권 광역우편물류센터,43,57,271,24,포항 우편집중국,69,71,30,2,경북 영덕군
003P10126,강원 평창군,3,7,84,3,원주 우편집중국,19,32,256,31,중부권 광역우편물류센터,44,60,318,38,울산 우편집중국,72,74,30,6,울산 동구
003P10127,강원 홍천군,3,7,81,4,원주 우편집중국,19,32,256,31,중부권 광역우편물류센터,44,54,199,71,광주 우편집중국,66,70,71,7,광주 동구
003P10128,경남 진주시,3,5,34,4,진주 우편집중국,17,27,202,9,중부권 광역우편물류센터,39,54,295,30,부산 우편집중국,66,68,35,2,부산 동구
003P10129,경북 김천시,3,8,106,2,대구 우편집중국,20,30,192,73,중부권 광역우편물류센터,42,53,216,34,안동 우편집중국,65,67,44,7,경북 예천군
003P10130,경기 양주시,3,5,38,3,의정부 우편집중국,17,30,261,20,중부권 광역우편물류센터,42,53,229,35,수원 우편집중국,65,68,69,9,경기 수원시 팔달구
003P10131,인천 부평구,3,5,36,3,부천 우편집중국,17,30,253,22,중부권 광역우편물류센터,42,58,318,23,울산 우편집중국,70,72,35,2,울산 울주군
003P10132,경기 과천시,3,6,55,4,안양 우편집중국,18,29,225,37,중부권 광역우편물류센터,41,53,233,15,순천 집중과,65,69,84,4,전남 보성군
003P10133,경북 경산시,3,6,54,1,대구 우편집중국,18,28,192,33,중부권 광역우편물류센터,40,53,256,29,원주 우편집중국,65,70,108,2,강원 춘천시
003P10134,경기 군포시,3,5,33,3,안양 우편집중국,17,28,225,31,중부권 광역우편물류센터,40,51,216,16,안동 우편집중국,63,65,44,3,경북 예천군
003P10135,경남 창원시 의창구,3,5,35,1,창원 우편집중국,17,30,251,14,중부권 광역우편물류센터,42,47,100,25,청주 우편집중국,59,63,71,4,충북 진천군
003P10136,경남 진주시,3,5,34,4,진주 우편집중국,17,27,202,9,중부권 광역우편물류센터,39,52,253,20,부천 우편집중국,64,67,66,2,인천 중구
003P10137,대구 달서구,3,5,48,1,대구 우편집중국,17,27,192,23,중부권 광역우편물류센터,39,52,261,15,의정부 우편집중국,64,67,52,2,경기 포천시
003P10138,대구 중구,3,5,30,4,대구 우편집중국,17,27,192,23,중부권 광역우편물류센터,39,50,225,24,안양 우편집중국,62,64,33,4,경기 안양시 만안구
003P10139,부산 연제구,3,6,60,3,부산 우편집중국,18,33,295,28,중부권 광역우편물류센터,45,59,271,38,포항 우편집중국,71,73,30,7,경북 울진군
003P10140,서울 강북구,3,6,64,5,의정부 우편집중국,18,31,261,27,중부권 광역우편물류센터,43,56,256,53,원주 우편집중국,68,79,227,7,강원 태백시
003P10141,서울 금천구,3,5,49,3,안양 우편집중국,17,28,225,31,중부권 광역우편물류센터,40,56,318,11,울산 우편집중국,68,70,30,7,울산 북구
003P10142,경기 동두천시,3,5,45,2,의정부 우편집중국,17,30,261,20,중부권 광역우편물류센터,42,57,295,69,부산 우편집중국,69,71,39,5,경남 김해시
003P10143,충북 충주시,3,5,44,2,청주 우편집중국,17,22,100,19,중부권 광역우편물류센터,34,49,295,11,부산 우편집중국,61,69,152,1,부산 해운대구
003P10144,인천 연수구,3,7,70,2,부천 우편집중국,19,32,253,55,중부권 광역우편물류센터,44,49,93,66,전주 우편집중국,61,70,176,10,전북 부안군
003P10145,충북 청주시 서원구,3,5,30,4,청주 우편집중국,17,22,100,19,중부권 광역우편물류센터,34,49,295,11,부산 우편집중국,61,64,60,1,부산 동래구
003P10146,충북 영동군,3,11,164,5,천안 우편집중국,23,30,133,57,중부권 광역우편물류센터,42,52,192,53,대구 우편집중국,64,66,30,3,대구 중구
003P10147,대전 대덕구,3,6,66,3,대전 우편집중국,18,21,53,18,중부권 광역우편물류센터,33,47,290,3,영암 우편집중국,59,61,50,1,전남 완도군
003P10148,경기 오산시,3,7,86,3,수원 우편집중국,19,30,229,21,중부권 광역우편물류센터,42,53,218,26,성남 우편집중국,65,67,43,3,경기 성남시 수정구
003P10149,경북 경주시,3,14,226,5,포항 우편집중국,26,40,271,58,중부권 광역우편물류센터,59,72,261,94,의정부 우편집중국,84,86,48,20,서울 중랑구
003P10150,충북 진천군,3,7,71,3,청주 우편집중국,19,24,100,35,중부권 광역우편물류센터,36,47,216,6,안동 우편집중국,59,63,70,1,경북 의성군
003P10151,광주 북구,3,6,57,4,광주 우편집중국,18,28,199,12,중부권 광역우편물류센터,40,51,218,18,성남 우편집중국,63,65,43,3,경기 성남시 중원구
003P10152,경남 진주시,3,5,34,4,진주 우편집중국,17,27,202,9,중부권 광역우편물류센터,39,54,295,30,부산 우편집중국,66,69,60,1,부산 금정구
003P10153,전남 무안군,3,6,63,2,영암 우편집중국,18,32,290,25,중부권 광역우편물류센터,44,57,256,66,원주 우편집중국,69,73,81,7,강원 홍천군
003P10154,서울 강서구,3,5,36,1,부천 우편집중국,17,30,253,22,중부권 광역우편물류센터,42,53,225,47,안양 우편집중국,65,67,33,5,경기 안양시 동안구
003P10155,경북 예천군,3,5,44,1,안동 우편집중국,17,28,216,7,중부권 광역우편물류센터,40,55,295,40,부산 우편집중국,67,71,74,3,경남 밀양시
003P10156,충북 청주시 서원구,3,5,30,4,청주 우편집중국,17,22,100,19,중부권 광역우편물류센터,34,49,295,11,부산 우편집중국,61,65,70,3,부산 사하구
003P10157,대구 중구,3,5,30,4,대구 우편집중국,17,27,192,23,중부권 광역우편물류센터,39,50,225,24,안양 우편집중국,62,64,50,2,경기 광명시
003P10158,경북 의성군,3,7,70,6,안동 우편집중국,19,30,216,20,중부권 광역우편물류센터,42,55,256,41,원주 우편집중국,67,70,62,2,충북 제천시
003P10159,전남 담양군,3,7,70,3,광주 우편집중국,19,29,199,22,중부권 광역우편물류센터,41,54,251,22,창원 우편집중국,66,68,30,2,경남 창원시 마산합포구
003P10160,경남 진주시,3,5,34,4,진주 우편집중국,17,27,202,9,중부권 광역우편물류센터,39,53,271,10,포항 우편집중국,65,73,168,3,경북 영천시
003P10161,경남 남해군,3,7,73,3,진주 우편집중국,19,29,202,19,중부권 광역우편물류센터,41,51,192,41,대구 우편집중국,63,66,55,5,경북 칠곡군
003P10162,충남 천안시 서북구,3,5,30,3,천안 우편집중국,17,24,133,11,중부권 광역우편물류센터,36,49,256,11,원주 우편집중국,61,66,98,2,충북 단양군
003P10163,경남 고성군,3,9,117,2,창원 우편집중국,21,34,251,48,중부권 광역우편물류센터,46,49,53,41,대전 우편집중국,61,66,102,9,충남 청양군
003P10164,경북 군위군,3,7,84,3,대구 우편집중국,19,29,192,51,중부권 광역우편물류센터,41,55,290,31,영암 우편집중국,67,69,50,5,전남 영암군
003P10165,경기 포천시,3,6,52,1,의정부 우편집중국,18,31,261,27,중부권 광역우편물류센터,43,54,216,47,안동 우편집중국,66,69,57,6,경북 봉화군
003P10166,부산 강서구,3,5,34,1,부산 우편집중국,17,32,295,22,중부권 광역우편물류센터,44,56,248,77,동서울 우편집중국,68,72,82,3,서울 강남구
003P10167,서울 양천구,3,5,36,2,부천 우편집중국,17,30,253,22,중부권 광역우편물류센터,42,55,261,36,의정부 우편집중국,67,70,64,6,서울 노원구
003P10168,부산 금정구,3,6,60,4,부산 우편집중국,18,33,295,28,중부권 광역우편물류센터,45,59,271,38,포항 우편집중국,71,73,30,7,경북 울진군
003P10169,충북 옥천군,3,10,135,7,천안 우편집중국,22,29,133,48,중부권 광역우편물류센터,41,52,216,24,안동 우편집중국,64,66,44,5,경북 예천군
003P10170,경북 봉화군,3,6,57,1,안동 우편집중국,18,29,216,13,중부권 광역우편물류센터,41,46,93,30,전주 우편집중국,58,61,54,3,전북 전주시 덕진구
003P10171,경기 동두천시,3,5,45,2,의정부 우편집중국,17,30,261,20,중부권 광역우편물류센터,42,52,192,53,대구 우편집중국,64,67,54,5,경북 경산시
003P10172,충남 부여군,3,9,116,3,대전 우편집중국,21,24,53,37,중부권 광역우편물류센터,36,49,253,8,부천 우편집중국,61,64,53,1,경기 시흥시
003P10173,경기 성남시 분당구,3,5,39,3,성남 우편집중국,17,28,218,14,중부권 광역우편물류센터,40,51,229,16,수원 우편집중국,63,66,69,5,경기 수원시 팔달구
003P10174,경남 의령군,3,6,53,3,진주 우편집중국,18,28,202,13,중부권 광역우편물류센터,40,58,368,10,강릉 우편집중국,70,74,82,3,강원 삼척시
003P10175,전남 순천시,3,5,36,3,순천 집중과,17,29,233,9,중부권 광역우편물류센터,41,52,229,22,수원 우편집중국,64,70,114,2,경기 안성시
003P10176,서울 은평구,3,5,39,5,고양 우편집중국,17,30,268,17,중부권 광역우편물류센터,42,55,261,36,의정부 우편집중국,67,70,64,4,서울 도봉구
003P10177,경북 경주시,3,14,226,5,포항 우편집중국,26,40,271,58,중부권 광역우편물류센터,59,70,225,92,안양 우편집중국,82,85,55,19,경기 과천시
003P10178,서울 중구,3,7,84,3,동서울 우편집중국,19,31,248,37,중부권 광역우편물류센터,43,50,133,56,천안 우편집중국,62,70,154,4,충남 홍성군
