택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10038,부산 부산진구,1,5,70,3,부산 우편집중국,17,32,295,22,중부권 광역우편물류센터,44,57,251,45,창원 우편집중국,69,73,80,6,경남 창원시 진해구
001P10039,전북 남원시,1,7,121,2,전주 우편집중국,19,24,93,34,중부권 광역우편물류센터,36,46,192,8,대구 우편집중국,58,61,54,2,대구 달성군
001P10040,전남 영광군,1,5,82,1,광주 우편집중국,17,27,199,5,중부권 광역우편물류센터,39,51,233,6,순천 집중과,63,67,84,2,전남 보성군
001P10041,충북 영동군,1,9,164,4,천안 우편집중국,21,28,133,39,중부권 광역우편물류센터,40,53,253,28,부천 우편집중국,65,70,96,2,인천 강화군
001P10042,충북 청주시 청원구,1,3,30,1,청주 우편집중국,15,20,100,2,중부권 광역우편물류센터,32,45,251,1,창원 우편집중국,57,63,117,1,경남 고성군
001P10043,충남 계룡시,1,3,30,1,대전 우편집중국,15,18,53,4,중부권 광역우편물류센터,30,40,192,1,대구 우편집중국,52,54,30,1,대구 북구
001P10044,인천 동구,1,5,74,1,부천 우편집중국,17,30,253,22,중부권 광역우편물류센터,42,53,218,26,성남 우편집중국,65,67,39,5,경기 성남시 분당구
001P10045,강원 인제군,1,9,150,2,원주 우편집중국,21,34,256,56,중부권 광역우편물류센터,46,59,256,93,원주 우편집중국,71,76,108,6,강원 화천군
001P10046,경기 의정부시,1,4,68,1,의정부 우편집중국,16,29,261,11,중부권 광역우편물류센터,41,52,218,21,성남 우편집중국,64,66,43,4,경기 성남시 중원구
001P10047,강원 횡성군,1,4,54,2,원주 우편집중국,16,29,256,4,중부권 광역우편물류센터,41,55,290,31,영암 우편집중국,67,69,45,4,전남 목포시
001P10048,부산 남구,1,3,35,1,부산 우편집중국,15,30,295,5,중부권 광역우편물류센터,42,53,216,34,안동 우편집중국,65,71,119,2,경북 문경시
