택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10001,충남 태안군,1,9,161,1,중부권 광역우편물류센터,21,33,238,1,경기 남양주시
001P10002,경기 고양시 덕양구,1,14,268,2,중부권 광역우편물류센터,26,36,192,5,대구 중구
001P10003,전북 익산시,1,6,103,1,중부권 광역우편물류센터,18,30,242,1,서울 중랑구
001P10004,전남 무안군,1,14,257,1,중부권 광역우편물류센터,26,29,64,4,세종특별자치시
001P10005,전북 군산시,1,9,162,1,중부권 광역우편물류센터,21,35,287,2,강원 평창군
001P10006,경북 문경시,1,10,187,3,중부권 광역우편물류센터,22,36,274,1,경북 영천시
001P10007,전북 남원시,1,10,176,1,중부권 광역우편물류센터,22,34,240,3,인천 남동구
001P10008,충북 청주시 서원구,1,6,100,2,중부권 광역우편물류센터,18,34,318,1,울산 중구
001P10009,부산 동래구,1,17,315,1,중부권 광역우편물류센터,29,45,318,6,울산 북구
001P10010,대전 유성구,1,4,54,3,중부권 광역우편물류센터,16,29,268,1,경기 고양시 덕양구
001P10011,경북 울진군,1,15,271,2,중부권 광역우편물류센터,27,33,116,5,경북 김천시
001P10012,전남 완도군,1,17,310,5,중부권 광역우편물류센터,29,45,318,7,울산 중구
001P10013,경북 구미시,1,8,146,1,중부권 광역우편물류센터,20,31,212,2,경기 안산시 상록구
001P10014,충남 청양군,1,7,110,4,중부권 광역우편물류센터,19,22,54,1,대전 서구
001P10015,경기 성남시 분당구,1,11,209,2,중부권 광역우편물류센터,23,34,228,2,경기 군포시
001P10016,강원 양구군,1,17,317,1,중부권 광역우편물류센터,29,41,238,7,경기 남양주시
001P10017,전남 완도군,1,17,310,5,중부권 광역우편물류센터,29,42,258,7,서울 영등포구
001P10018,충북 청주시 흥덕구,1,6,99,2,중부권 광역우편물류센터,18,33,298,2,경남 김해시
001P10019,전남 영광군,1,12,219,3,중부권 광역우편물류센터,24,42,368,4,강원 강릉시
001P10020,충남 논산시,1,6,100,2,중부권 광역우편물류센터,18,30,242,2,전남 광양시
001P10021,울산 중구,1,17,318,1,중부권 광역우편물류센터,29,40,220,3,경기 과천시
