episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)",동서울 우편집중국,의정부 우편집중국,부천 우편집중국,중부권 광역우편물류센터,부산 우편집중국,대구 우편집중국,성남 우편집중국,안양 우편집중국,고양 우편집중국,대전 우편집중국,창원 우편집중국,광주 우편집중국,수원 우편집중국,원주 우편집중국,강릉 우편집중국,청주 우편집중국,천안 우편집중국,울산 우편집중국,안동 우편집중국,포항 우편집중국,진주 우편집중국,순천 집중과,영암 우편집중국,전주 우편집중국
12,314.5719887955182,230.80009418707667,63776,0.04656284,204,139,750,5228,229,131,124,197,46.07692307692308,31.384615384615383,45.53846153846154,278.94871794871796,45.69230769230769,51.69230769230769,26.025641025641026,39.23076923076923,28.28205128205128,43.8974358974359,27.58974358974359,30.692307692307693,27.23076923076923,45.94871794871795,10.897435897435898,31.794871794871796,38.333333333333336,13.179487179487179,28.0,14.820512820512821,29.58974358974359,13.025641025641026,16.974358974358974,48.743589743589745
13,302.4840707964602,225.84815855419063,57760,0.04163723,164,136,835,5670,175,125,106,175,46.61538461538461,35.1025641025641,44.56410256410256,249.28205128205127,45.41025641025641,51.333333333333336,28.743589743589745,40.35897435897436,26.102564102564102,43.61538461538461,28.846153846153847,36.97435897435897,30.05128205128205,49.76923076923077,14.461538461538462,42.07692307692308,39.92307692307692,18.076923076923077,27.46153846153846,15.564102564102564,19.974358974358974,12.384615384615385,18.641025641025642,43.69230769230769
14,305.5713458755427,225.43762477347974,60156,0.03749935,187,136,848,5788,200,173,133,181,55.026315789473685,36.78947368421053,51.1578947368421,291.3157894736842,47.63157894736842,50.026315789473685,32.68421052631579,43.921052631578945,28.57894736842105,41.578947368421055,28.18421052631579,41.421052631578945,29.13157894736842,47.81578947368421,13.789473684210526,37.39473684210526,41.78947368421053,15.710526315789474,31.657894736842106,15.605263157894736,24.68421052631579,15.526315789473685,20.157894736842106,49.23684210526316
15,312.8975488846048,225.66015608684197,65794,0.03770228,169,138,853,5322,210,140,138,166,53.05263157894737,31.973684210526315,48.421052631578945,306.55263157894734,48.68421052631579,54.26315789473684,26.42105263157895,53.473684210526315,27.210526315789473,41.6578947368421,32.71052631578947,32.973684210526315,25.105263157894736,46.28947368421053,13.18421052631579,36.23684210526316,38.73684210526316,17.55263157894737,25.236842105263158,15.947368421052632,24.210526315789473,10.473684210526315,19.657894736842106,45.473684210526315
16,318.80770304214343,226.46270705853203,67760,0.033062335,172,148,908,5020,219,144,120,161,45.35897435897436,31.128205128205128,52.0,324.3333333333333,40.12820512820513,46.41025641025641,29.71794871794872,35.61538461538461,23.666666666666668,40.87179487179487,27.794871794871796,31.076923076923077,26.743589743589745,40.87179487179487,9.153846153846153,29.666666666666668,39.43589743589744,13.487179487179487,22.333333333333332,15.461538461538462,22.641025641025642,10.794871794871796,19.435897435897434,43.05128205128205
17,315.08294930875576,228.34432790655174,63122,0.03232081,166,160,894,4992,184,130,148,179,47.282051282051285,35.15384615384615,45.69230769230769,300.20512820512823,45.0,50.256410256410255,24.53846153846154,35.282051282051285,23.358974358974358,39.56410256410256,26.512820512820515,32.35897435897436,23.846153846153847,40.61538461538461,12.102564102564102,33.0,37.94871794871795,16.871794871794872,22.846153846153847,15.923076923076923,24.743589743589745,11.051282051282051,16.102564102564102,50.05128205128205
18,321.8643274853801,228.68546207581167,65095,0.03612563,179,137,878,4396,209,150,148,140,44.078947368421055,29.31578947368421,42.526315789473685,339.86842105263156,44.5,49.6578947368421,24.55263157894737,37.26315789473684,22.18421052631579,47.76315789473684,27.473684210526315,31.657894736842106,26.0,40.36842105263158,10.157894736842104,32.71052631578947,50.1578947368421,14.447368421052632,31.13157894736842,15.105263157894736,19.894736842105264,14.447368421052632,16.63157894736842,45.71052631578947
19,314.9475474907854,223.02301581579707,67163,0.030230317,190,131,959,5295,210,141,125,176,45.5945945945946,29.405405405405407,45.08108108108108,357.5945945945946,44.432432432432435,48.78378378378378,29.054054054054053,40.351351351351354,20.83783783783784,46.054054054054056,26.10810810810811,31.756756756756758,22.81081081081081,44.189189189189186,12.864864864864865,37.189189189189186,40.86486486486486,16.486486486486488,20.35135135135135,15.64864864864865,24.027027027027028,13.297297297297296,17.405405405405407,47.13513513513514
20,308.9092938878035,224.12307071064143,64112,0.030517848,129,122,876,5536,191,99,118,165,49.3,39.675,48.1,280.5,40.4,50.95,26.8,38.475,22.175,43.375,25.175,32.375,31.45,40.425,9.7,37.075,46.1,19.825,31.75,13.325,23.125,14.425,20.825,50.15
21,313.70230862697446,223.30150948294676,61070,0.032000247,128,117,1015,4790,178,129,92,145,46.075,27.75,40.5,300.825,37.625,50.225,22.7,37.375,23.575,41.0,23.075,31.05,26.275,41.275,11.225,32.9,41.475,15.475,30.4,11.4,21.5,10.775,18.25,50.975
