episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)",동서울 우편집중국,의정부 우편집중국,부천 우편집중국,중부권 광역우편물류센터,부산 우편집중국,대구 우편집중국,성남 우편집중국,안양 우편집중국,고양 우편집중국,대전 우편집중국,창원 우편집중국,광주 우편집중국,수원 우편집중국,원주 우편집중국,강릉 우편집중국,청주 우편집중국,천안 우편집중국,울산 우편집중국,안동 우편집중국,포항 우편집중국,진주 우편집중국,순천 집중과,영암 우편집중국,전주 우편집중국
11,198.25333606723513,196.82849921753845,16628339,0.17767419,257,148,152,135,173,181,191,153,3.1358024691358026,3.45679012345679,5.012345679012346,3.074074074074074,4.395061728395062,4.345679012345679,2.259259259259259,3.5555555555555554,3.814814814814815,2.4074074074074074,2.185185185185185,1.4197530864197532,1.5555555555555556,1.9259259259259258,0.8271604938271605,2.753086419753086,1.2962962962962963,2.197530864197531,2.5185185185185186,1.5308641975308641,1.9259259259259258,2.4074074074074074,3.2222222222222223,2.2098765432098766
12,207.4046827715438,206.8557801324369,11408951,0.18256602,250,112,83,124,173,204,184,112,3.044943820224719,3.337078651685393,5.067415730337078,3.168539325842697,4.49438202247191,4.314606741573034,2.2134831460674156,3.640449438202247,3.831460674157303,2.4269662921348316,2.348314606741573,1.5393258426966292,1.4943820224719102,1.9662921348314606,0.8089887640449438,2.764044943820225,1.2808988764044944,2.3258426966292136,2.404494382022472,1.6067415730337078,1.9662921348314606,2.404494382022472,3.1797752808988764,2.067415730337079
13,195.71771635567265,194.31635627873905,19585708,0.14940499,398,151,128,166,174,223,224,143,3.195876288659794,3.1752577319587627,5.082474226804123,3.2061855670103094,4.721649484536083,4.474226804123711,2.195876288659794,3.8247422680412373,4.061855670103093,2.3608247422680413,2.422680412371134,1.5360824742268042,1.6391752577319587,1.8865979381443299,0.9381443298969072,2.9896907216494846,1.2783505154639174,2.422680412371134,2.443298969072165,1.6082474226804124,1.9690721649484537,2.3608247422680413,3.484536082474227,2.051546391752577
14,188.9043966632797,188.40258144914466,12729334,0.14901723,306,115,106,140,165,199,187,143,3.125,3.3365384615384617,5.048076923076923,3.0673076923076925,4.596153846153846,4.326923076923077,2.3461538461538463,3.9326923076923075,3.951923076923077,2.4326923076923075,2.4038461538461537,1.5480769230769231,1.5865384615384615,1.875,0.9038461538461539,3.0288461538461537,1.3173076923076923,2.4711538461538463,2.4423076923076925,1.6346153846153846,1.8942307692307692,2.3461538461538463,3.375,2.0961538461538463
15,209.0419745743811,206.81809729140343,13088077,0.18684143,242,114,113,122,185,187,196,138,3.1171171171171173,3.4684684684684686,5.054054054054054,3.009009009009009,4.441441441441442,4.27027027027027,2.3513513513513513,4.009009009009009,3.918918918918919,2.3603603603603602,2.4774774774774775,1.5225225225225225,1.5855855855855856,1.882882882882883,0.8828828828828829,3.189189189189189,1.3693693693693694,2.5675675675675675,2.4414414414414414,1.6936936936936937,1.90990990990991,2.369369369369369,3.4054054054054053,2.1171171171171173
16,185.87432610707464,185.30160999205833,15033235,0.16122086,264,103,109,126,171,207,159,151,3.2857142857142856,3.3781512605042017,4.991596638655462,2.9327731092436973,4.4033613445378155,4.26890756302521,2.2857142857142856,4.033613445378151,4.016806722689076,2.403361344537815,2.46218487394958,1.4789915966386555,1.5546218487394958,2.0504201680672267,0.865546218487395,3.042016806722689,1.3865546218487395,2.689075630252101,2.3445378151260505,1.6638655462184875,1.9663865546218486,2.302521008403361,3.3949579831932772,2.092436974789916
17,209.33308606845952,208.70992208258835,6554174,0.21186191,175,89,93,97,122,143,131,90,3.2301587301587302,3.365079365079365,4.825396825396825,3.0,4.4523809523809526,4.365079365079365,2.357142857142857,4.087301587301587,4.190476190476191,2.4206349206349205,2.4603174603174605,1.4523809523809523,1.5317460317460319,2.0952380952380953,0.9523809523809523,3.0952380952380953,1.3888888888888888,2.7301587301587302,2.3333333333333335,1.5714285714285714,1.9285714285714286,2.2063492063492065,3.4285714285714284,2.0634920634920637
18,192.91405794317447,191.9009585887338,11168413,0.18865563,312,85,78,109,168,163,183,95,3.5,3.4411764705882355,4.882352941176471,3.3308823529411766,4.529411764705882,4.485294117647059,2.463235294117647,4.25,4.147058823529412,2.4338235294117645,2.5588235294117645,1.5808823529411764,1.5514705882352942,2.2058823529411766,0.9852941176470589,3.0220588235294117,1.411764705882353,2.7279411764705883,2.3970588235294117,1.6691176470588236,1.9044117647058822,2.301470588235294,3.485294117647059,2.0073529411764706
19,197.10688800222064,196.87183258965243,10342235,0.18682888,240,97,98,104,156,159,184,101,3.5625,3.361111111111111,4.958333333333333,3.201388888888889,4.395833333333333,4.423611111111111,2.4097222222222223,4.152777777777778,4.006944444444445,2.4583333333333335,2.5069444444444446,1.5416666666666667,1.5138888888888888,2.173611111111111,0.9652777777777778,2.9791666666666665,1.3680555555555556,2.673611111111111,2.361111111111111,1.625,1.8541666666666667,2.298611111111111,3.4444444444444446,1.9513888888888888
20,201.8334011742058,200.5887933263737,16303227,0.16801946,277,118,133,140,184,184,207,135,3.6315789473684212,3.460526315789474,4.947368421052632,3.2302631578947367,4.572368421052632,4.4868421052631575,2.375,4.25,4.0,2.5065789473684212,2.5723684210526314,1.493421052631579,1.5526315789473684,2.210526315789474,0.9605263157894737,2.9802631578947367,1.3486842105263157,2.7039473684210527,2.361842105263158,1.618421052631579,1.875,2.2960526315789473,3.5328947368421053,1.9342105263157894
