택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10041,전남 해남군,1,3,50,3,영암 우편집중국,15,29,290,11,중부권 광역우편물류센터,41,53,247,6,경기 부천시
001P10042,울산 중구,1,3,30,2,울산 우편집중국,15,31,318,3,중부권 광역우편물류센터,43,49,116,6,전북 전주시 완산구
001P10043,인천 옹진군,1,4,66,2,부천 우편집중국,16,29,253,23,중부권 광역우편물류센터,41,49,165,2,경북 상주시
001P10044,부산 부산진구,1,5,70,3,부산 우편집중국,17,32,295,39,중부권 광역우편물류센터,44,53,184,6,대구 서구
001P10045,부산 해운대구,1,9,152,2,부산 우편집중국,21,36,295,98,중부권 광역우편물류센터,58,71,258,16,서울 영등포구
001P10046,충북 제천시,1,4,62,2,원주 우편집중국,16,29,256,6,중부권 광역우편물류센터,41,53,234,2,경북 청송군
001P10047,충북 충주시,1,3,44,4,청주 우편집중국,15,20,100,7,중부권 광역우편물류센터,32,42,195,1,대구 달성군
001P10048,전남 담양군,1,5,70,1,광주 우편집중국,17,27,199,16,중부권 광역우편물류센터,39,46,146,2,경북 구미시
001P10049,부산 해운대구,1,9,152,2,부산 우편집중국,21,36,295,98,중부권 광역우편물류센터,58,61,54,13,대전 서구
001P10050,부산 중구,1,5,70,1,부산 우편집중국,17,32,295,39,중부권 광역우편물류센터,44,58,273,5,서울 은평구
001P10051,경북 의성군,1,5,70,2,안동 우편집중국,17,28,216,20,중부권 광역우편물류센터,40,53,253,1,서울 노원구
001P10052,경북 경주시,1,12,226,2,포항 우편집중국,24,38,271,35,중부권 광역우편물류센터,58,69,215,23,전남 화순군
001P10053,경남 창녕군,1,5,75,4,창원 우편집중국,17,30,251,15,중부권 광역우편물류센터,42,47,100,10,충북 청주시 서원구
001P10054,경기 연천군,1,4,55,1,의정부 우편집중국,16,29,261,21,중부권 광역우편물류센터,41,49,161,2,충남 서산시
001P10055,대구 서구,1,3,43,1,대구 우편집중국,15,25,192,8,중부권 광역우편물류센터,37,51,286,2,전남 보성군
001P10056,경북 경주시,1,12,226,2,포항 우편집중국,24,38,271,35,중부권 광역우편물류센터,58,71,262,16,경기 김포시
001P10057,경북 울진군,1,3,30,1,포항 우편집중국,15,29,271,1,중부권 광역우편물류센터,41,46,100,7,충북 청주시 서원구
001P10058,경북 칠곡군,1,4,55,5,대구 우편집중국,16,26,192,29,중부권 광역우편물류센터,38,49,229,1,서울 관악구
001P10059,경기 의정부시,1,4,68,1,의정부 우편집중국,16,29,261,21,중부권 광역우편물류센터,41,51,190,5,경기 용인시 기흥구
001P10060,대전 서구,1,3,46,3,대전 우편집중국,15,18,53,5,중부권 광역우편물류센터,30,44,279,1,서울 서대문구
001P10061,경남 거창군,1,7,124,4,진주 우편집중국,19,29,202,33,중부권 광역우편물류센터,41,44,64,5,세종특별자치시
001P10062,광주 북구,1,4,57,4,광주 우편집중국,16,26,199,7,중부권 광역우편물류센터,38,54,317,1,강원 춘천시
001P10063,전남 무안군,1,4,63,2,영암 우편집중국,16,30,290,26,중부권 광역우편물류센터,42,52,198,3,충남 보령시
001P10064,강원 화천군,1,6,108,2,원주 우편집중국,18,31,256,25,중부권 광역우편물류센터,43,59,318,4,울산 동구
001P10065,광주 북구,1,4,57,4,광주 우편집중국,16,26,199,7,중부권 광역우편물류센터,38,59,415,1,강원 속초시
001P10066,충북 진천군,1,5,71,1,청주 우편집중국,17,22,100,21,중부권 광역우편물류센터,34,45,216,1,경북 안동시
001P10067,경기 양평군,1,8,144,3,동서울 우편집중국,20,32,248,66,중부권 광역우편물류센터,44,52,161,2,충남 태안군
001P10068,경기 이천시,1,6,94,2,성남 우편집중국,18,29,218,26,중부권 광역우편물류센터,41,56,308,4,부산 서구
001P10069,전남 완도군,1,3,50,3,영암 우편집중국,15,29,290,11,중부권 광역우편물류센터,41,54,268,6,경기 고양시 덕양구
001P10070,부산 서구,1,5,70,1,부산 우편집중국,17,32,295,39,중부권 광역우편물류센터,44,47,53,8,충북 옥천군
001P10071,충북 단양군,1,6,98,2,원주 우편집중국,18,31,256,25,중부권 광역우편물류센터,43,54,220,7,서울 송파구
001P10072,대전 서구,1,3,46,3,대전 우편집중국,15,18,53,5,중부권 광역우편물류센터,30,43,268,1,경기 고양시 덕양구
001P10073,경남 하동군,1,5,73,5,진주 우편집중국,17,27,202,18,중부권 광역우편물류센터,39,55,315,2,부산 동래구
001P10074,충남 청양군,1,6,102,2,대전 우편집중국,18,21,53,29,중부권 광역우편물류센터,33,46,262,1,경기 김포시
001P10075,광주 동구,1,5,71,3,광주 우편집중국,17,27,199,16,중부권 광역우편물류센터,39,53,276,2,전남 신안군
001P10076,경남 거창군,1,7,124,4,진주 우편집중국,19,29,202,33,중부권 광역우편물류센터,41,58,333,7,경기 가평군
001P10077,경남 창녕군,1,5,75,4,창원 우편집중국,17,30,251,15,중부권 광역우편물류센터,42,49,136,2,경남 함양군
001P10078,강원 양구군,1,6,108,2,원주 우편집중국,18,31,256,25,중부권 광역우편물류센터,43,53,198,3,경남 진주시
001P10079,경남 산청군,1,5,82,5,진주 우편집중국,17,27,202,18,중부권 광역우편물류센터,39,49,192,4,대구 중구
