,처리용량,상위 허브,연결도로,처리시간,번호
광주 북구,0,광주 우편집중국,호남고속 용봉IC,0,87
광주 광산구,0,광주 우편집중국,통영대전고속 판암IC,0,88
대전 동구,0,대전 우편집중국,통영대전고속 판암IC,0,89
대전 중구,0,대전 우편집중국,통영대전고속 판암IC,0,90
대전 서구,0,대전 우편집중국,호남고속지선 유성IC,0,91
대전 유성구,0,대전 우편집중국,호남고속지선 유성IC,0,92
대전 대덕구,0,대전 우편집중국,경부고속 대전IC,0,93
울산 중구,0,울산 우편집중국,울산고속 울산IC,0,94
울산 남구,0,울산 우편집중국,울산고속 울산IC,0,95
울산 동구,0,울산 우편집중국,울산고속 울산IC,0,96
울산 북구,0,울산 우편집중국,울산고속 울산IC,0,97
울산 울주군,0,울산 우편집중국,동해고속 문수IC,0,98
경기 수원시 장안구,0,수원 우편집중국,영동고속 북수원IC,0,99
경기 수원시 권선구,0,수원 우편집중국,영동고속 북수원IC,0,100
경기 수원시 팔달구,0,수원 우편집중국,영동고속 동수원IC,0,101
경기 수원시 영통구,0,수원 우편집중국,용인서울고속 흥덕IC,0,102
경기 성남시 수정구,0,성남 우편집중국,수도권제1순환고속 성남IC,0,103
경기 성남시 중원구,0,성남 우편집중국,수도권제1순환고속 성남IC,0,104
경기 성남시 분당구,0,성남 우편집중국,경부고속 판교IC,0,105
경기 의정부시,0,의정부 우편집중국,수도권제1순환고속 호원IC,0,106
경기 안양시 만안구,0,안양 우편집중국,수도권제1순환고속 산본IC,0,107
경기 안양시 동안구,0,안양 우편집중국,수도권제1순환고속 산본IC,0,108
경기 부천시,0,부천 우편집중국,수도권제1순환고속 중동IC,0,109
경기 광명시,0,안양 우편집중국,서해안고속 금천IC,0,110
경기 평택시,0,수원 우편집중국,경부고속 안성IC,0,111
경기 동두천시,0,의정부 우편집중국,세종포천고속 선단IC,0,112
경기 안산시 상록구,0,안양 우편집중국,서해안고속 매송IC,0,113
경기 안산시 단원구,0,안양 우편집중국,영동고속 서안산IC,0,114
경기 고양시 덕양구,0,고양 우편집중국,수도권제1순환고속 일산IC,0,115
경기 고양시 일산동구,0,고양 우편집중국,수도권제1순환고속 일산IC,0,116
경기 고양시 일산서구,0,고양 우편집중국,수도권제1순환고속 일산IC,0,117
경기 과천시,0,안양 우편집중국,제2경인고속 북의왕IC,0,118
경기 구리시,0,의정부 우편집중국,수도권제1순환고속도로 남양주IC,0,119
경기 남양주시,0,동서울 우편집중국,수도권제1순환고속도로 남양주IC,0,120
경기 오산시,0,수원 우편집중국,경부고속 오산IC,0,121
경기 시흥시,0,부천 우편집중국,수도권제1순환고속 도리IC,0,122
경기 군포시,0,안양 우편집중국,수도권제1순환고속 산본IC,0,123
경기 의왕시,0,안양 우편집중국,영동고속 북수원IC,0,124
경기 하남시,0,동서울 우편집중국,중부고속 하남IC,0,125
경기 용인시 처인구,0,성남 우편집중국,영동고속 용인IC,0,126
경기 용인시 기흥구,0,성남 우편집중국,경부고속 수원신갈IC,0,127
경기 용인시 수지구,0,성남 우편집중국,영동고속 동수원IC,0,128
